,client_id,time_step_1,time_step_2,time_step_3,time_confirm,Variation,total_time
66,924852,6.0,42.0,382.0,44.0,Test,474.0
67,8330343,10.0,36.0,100.0,38.0,Test,184.0
68,4778491,4.0,44.0,183.0,21.0,Test,252.0
69,7177069,2.0,61.0,38.0,19.0,Test,120.0
70,9059531,58.0,14.0,59.0,193.0,Control,324.0
71,7705990,12.0,7.0,101.0,42.0,Test,162.0
72,6224299,28.0,23.0,90.0,69.0,Control,210.0
73,7087847,21.0,83.0,103.0,58.0,Control,265.0
74,5786954,8.0,23.0,168.0,36.0,Test,235.0
75,117276,10.0,16.0,66.0,51.0,Test,143.0
76,7441896,27.0,16.0,123.0,130.0,Control,296.0
77,4101033,21.0,28.0,92.0,54.0,Control,195.0
78,1424799,71.0,22.0,333.0,740.0,Test,1166.0
79,4251309,10.0,10.0,72.0,69.0,Test,161.0
80,7448926,164.0,161.0,68.0,127.0,Control,520.0
81,3432043,9.0,29.0,88.0,35.0,Test,161.0
82,2657900,16.0,5.0,83.0,82.0,Control,186.0
83,4961256,12.0,25.0,94.0,34.0,Test,165.0
84,1209140,9.0,23.0,25.0,35.0,Test,92.0
85,2262795,11.0,14.0,66.0,68.0,Control,159.0
86,5867403,5.0,36.0,83.0,26.0,Test,150.0
87,3535465,127.0,188.0,70.0,854.0,Test,1239.0
88,4878070,66.0,19.0,96.0,93.0,Test,274.0
89,77276,3.0,27.0,21.0,20.0,Test,71.0
90,5667617,10.0,39.0,110.0,44.0,Test,203.0
91,7787684,42.0,60.0,341.0,68.0,Control,511.0
92,2333006,49.0,13.0,137.0,105.0,Control,304.0
93,5238758,11.0,45.0,181.0,48.0,Test,285.0
94,9635244,10.0,38.0,25.0,121.0,Control,194.0
95,2915635,57.0,21.0,37.0,25.0,Test,140.0
96,9922958,42.0,56.0,113.0,249.0,Test,460.0
97,323950,23.0,6.0,71.0,48.0,Control,148.0
98,8750191,41.0,29.0,34.0,39.0,Control,143.0
99,8723963,8.0,9.0,66.0,61.0,Test,144.0
100,6405391,12.0,7.0,84.0,32.0,Test,135.0
101,3011265,60.0,72.0,133.0,52.0,Control,317.0
102,7045324,11.0,15.0,44.0,29.0,Test,99.0
103,3436975,18.0,4.0,108.0,25.0,Control,155.0
104,3695514,7.0,5.0,250.0,222.0,Control,484.0
105,3072060,9.0,15.0,51.0,21.0,Test,96.0
106,2888193,38.0,9.0,102.0,501.0,Control,650.0
107,2420923,35.0,26.0,65.0,35.0,Test,161.0
108,8957739,14.0,53.0,42.0,297.0,Test,406.0
109,7258442,36.0,45.0,141.0,173.0,Control,395.0
110,1486118,26.0,42.0,133.0,143.0,Control,344.0
111,8930597,10.0,7.0,37.0,80.0,Control,134.0
112,4343885,20.0,58.0,52.0,179.0,Control,309.0
113,8472274,13.0,34.0,79.0,60.0,Test,186.0
114,838584,12.0,28.0,131.0,80.0,Test,251.0
115,6774011,4.0,32.0,55.0,43.0,Test,134.0
116,3649806,71.0,603.0,74.0,154.0,Test,902.0
117,3766837,14.0,56.0,46.0,373.0,Test,489.0
118,1432979,40.0,6.0,47.0,518.0,Control,611.0
119,3671491,87.0,45.0,257.0,113.0,Control,502.0
120,1090478,7.0,45.0,72.0,83.0,Test,207.0
121,2681612,17.0,37.0,161.0,81.0,Control,296.0
122,851930,42.0,14.0,163.0,88.0,Control,307.0
123,6766816,246.0,99.0,239.0,1334.0,Test,1918.0
124,741785,6.0,6.0,107.0,82.0,Control,201.0
125,8125499,5.0,27.0,136.0,114.0,Test,282.0
126,2963107,57.0,40.0,212.0,169.0,Control,478.0
127,494597,5.0,12.0,65.0,33.0,Test,115.0
128,6332820,11.0,37.0,17.0,26.0,Control,91.0
129,1711408,14.0,53.0,305.0,37.0,Test,409.0
130,9221129,15.0,50.0,58.0,33.0,Test,156.0
131,8225520,51.0,16.0,72.0,19.0,Test,158.0
132,9824178,7.0,20.0,25.0,88.0,Test,140.0
133,2892822,72.0,18.0,50.0,38.0,Test,178.0
134,3387907,73.0,14.0,153.0,103.0,Control,343.0
135,7258987,32.0,44.0,191.0,50.0,Test,317.0
136,5240348,4.0,6.0,19.0,26.0,Control,55.0
137,3421393,13.0,9.0,36.0,116.0,Control,174.0
138,6740819,32.0,83.0,22.0,78.0,Control,215.0
139,7606536,4.0,11.0,43.0,48.0,Control,106.0
140,2839247,290.0,81.0,207.0,924.0,Control,1502.0
141,5363445,25.0,8.0,672.0,70.0,Control,775.0
142,8031718,10.0,54.0,42.0,49.0,Control,155.0
143,566137,12.0,28.0,63.0,143.0,Test,246.0
144,5398009,12.0,20.0,86.0,33.0,Test,151.0
145,5015824,15.0,14.0,86.0,49.0,Test,164.0
146,4608580,37.0,65.0,265.0,37.0,Control,404.0
147,2612667,7.0,26.0,57.0,132.0,Test,222.0
148,2615052,9.0,29.0,74.0,31.0,Test,143.0
149,6651108,9.0,38.0,196.0,140.0,Test,383.0
150,844271,388.0,45.0,31.0,707.0,Test,1171.0
151,8774888,25.0,28.0,88.0,231.0,Test,372.0
152,6382757,7.0,20.0,48.0,20.0,Test,95.0
153,8501430,52.0,9.0,29.0,121.0,Control,211.0
154,6724494,5.0,6.0,125.0,16.0,Test,152.0
155,7804581,8.0,6.0,118.0,65.0,Control,197.0
156,2717233,21.0,16.0,231.0,119.0,Test,387.0
157,9112089,29.0,33.0,90.0,51.0,Control,203.0
158,9624621,14.0,60.0,33.0,97.0,Control,204.0
159,1411452,6.0,18.0,47.0,37.0,Test,108.0
160,5941398,10.0,49.0,69.0,50.0,Test,178.0
161,4889645,91.0,48.0,71.0,57.0,Test,267.0
162,5520127,29.0,9.0,98.0,54.0,Control,190.0
163,8360249,19.0,85.0,33.0,141.0,Control,278.0
164,9762839,109.0,37.0,102.0,177.0,Test,425.0
165,8655162,24.0,41.0,97.0,204.0,Test,366.0
166,1622925,6.0,38.0,45.0,55.0,Test,144.0
167,1011972,52.0,23.0,72.0,532.0,Control,679.0
168,3314416,123.0,8.0,93.0,69.0,Control,293.0
169,8121690,13.0,39.0,52.0,24.0,Test,128.0
170,9795698,15.0,5.0,56.0,33.0,Test,109.0
171,8550901,50.0,9.0,110.0,116.0,Control,285.0
172,9983987,14.0,26.0,33.0,90.0,Test,163.0
173,8006148,16.0,19.0,32.0,53.0,Test,120.0
174,4052287,21.0,7.0,130.0,59.0,Control,217.0
175,8375573,3.0,5.0,45.0,23.0,Test,76.0
176,8512863,74.0,55.0,69.0,359.0,Control,557.0
177,9749944,72.0,24.0,379.0,166.0,Control,641.0
178,1790923,26.0,10.0,39.0,143.0,Control,218.0
179,7274800,13.0,7.0,257.0,46.0,Test,323.0
180,3976933,5.0,21.0,49.0,21.0,Control,96.0
181,1033888,39.0,275.0,268.0,254.0,Control,836.0
182,5569364,19.0,9.0,70.0,40.0,Control,138.0
183,7030145,24.0,24.0,443.0,82.0,Test,573.0
184,9007970,15.0,18.0,67.0,127.0,Test,227.0
185,1333964,10.0,19.0,39.0,31.0,Test,99.0
186,4129281,29.0,30.0,71.0,47.0,Test,177.0
187,9382137,8.0,17.0,151.0,21.0,Control,197.0
188,5955812,9.0,52.0,50.0,1247.0,Test,1358.0
189,9296214,42.0,60.0,292.0,661.0,Test,1055.0
190,3337387,3.0,8.0,41.0,19.0,Test,71.0
191,9322129,6.0,12.0,33.0,55.0,Test,106.0
192,9764115,10.0,25.0,65.0,98.0,Test,198.0
193,1296904,55.0,45.0,152.0,157.0,Control,409.0
194,542563,12.0,10.0,17.0,41.0,Control,80.0
195,3050600,5.0,5.0,103.0,75.0,Control,188.0
196,5033489,12.0,8.0,73.0,50.0,Control,143.0
197,3461541,8.0,5.0,59.0,60.0,Control,132.0
198,5171763,22.0,44.0,129.0,257.0,Control,452.0
199,8580049,9.0,62.0,23.0,106.0,Test,200.0
200,2067509,5.0,36.0,32.0,102.0,Test,175.0
201,9111035,10.0,23.0,52.0,37.0,Test,122.0
202,2722950,13.0,5.0,121.0,169.0,Control,308.0
203,1755496,17.0,11.0,41.0,20.0,Test,89.0
204,8950069,64.0,12.0,195.0,142.0,Test,413.0
205,3010914,12.0,9.0,78.0,303.0,Control,402.0
206,7767849,6.0,47.0,91.0,76.0,Test,220.0
207,8118036,4.0,32.0,66.0,43.0,Test,145.0
208,9726680,6.0,7.0,92.0,20.0,Test,125.0
209,6773284,5.0,77.0,128.0,29.0,Test,239.0
210,3052488,200.0,13.0,122.0,90.0,Control,425.0
211,9664272,11.0,32.0,85.0,45.0,Control,173.0
212,6905463,10.0,6.0,63.0,43.0,Control,122.0
213,1144410,10.0,9.0,69.0,148.0,Control,236.0
214,2493468,6.0,22.0,82.0,65.0,Test,175.0
215,2853115,5.0,28.0,47.0,48.0,Control,128.0
216,8968789,37.0,390.0,197.0,65.0,Control,689.0
217,1465396,6.0,20.0,86.0,61.0,Test,173.0
218,4780398,50.0,75.0,68.0,309.0,Control,502.0
219,4023943,33.0,72.0,87.0,80.0,Control,272.0
220,2601570,18.0,35.0,76.0,142.0,Test,271.0
221,1455127,18.0,22.0,76.0,46.0,Test,162.0
222,2035117,41.0,7.0,26.0,53.0,Control,127.0
223,2379374,20.0,10.0,81.0,145.0,Test,256.0
224,749827,12.0,84.0,180.0,81.0,Test,357.0
225,7829434,26.0,6.0,69.0,194.0,Control,295.0
226,4374056,6.0,13.0,64.0,47.0,Test,130.0
227,5651761,9.0,38.0,54.0,36.0,Test,137.0
228,8466565,37.0,16.0,64.0,228.0,Test,345.0
229,2471812,15.0,34.0,69.0,86.0,Test,204.0
230,5766460,6.0,14.0,20.0,45.0,Test,85.0
231,6379996,9.0,49.0,58.0,67.0,Test,183.0
232,3391330,8.0,45.0,111.0,333.0,Test,497.0
233,3703213,8.0,63.0,41.0,68.0,Test,180.0
234,934442,42.0,25.0,83.0,101.0,Control,251.0
235,4363111,5.0,4.0,109.0,47.0,Control,165.0
236,6251290,12.0,28.0,343.0,233.0,Test,616.0
237,9573768,10.0,24.0,215.0,40.0,Control,289.0
238,7858061,4.0,18.0,50.0,60.0,Test,132.0
239,65845,153.0,11.0,41.0,598.0,Control,803.0
240,180404,13.0,8.0,110.0,43.0,Control,174.0
241,7263999,5.0,59.0,99.0,109.0,Test,272.0
242,2622312,179.0,17.0,278.0,166.0,Control,640.0
243,2190311,24.0,45.0,99.0,852.0,Test,1020.0
244,3806081,36.0,25.0,63.0,184.0,Test,308.0
245,6282795,4.0,10.0,29.0,38.0,Control,81.0
246,1163409,11.0,29.0,93.0,17.0,Test,150.0
247,9173795,9.0,66.0,124.0,42.0,Test,241.0
248,9077478,5.0,9.0,68.0,29.0,Test,111.0
249,9076007,9.0,82.0,211.0,76.0,Test,378.0
250,7688646,16.0,27.0,79.0,70.0,Control,192.0
251,463029,13.0,47.0,50.0,108.0,Test,218.0
252,5617039,12.0,18.0,97.0,53.0,Test,180.0
253,3531620,7.0,6.0,64.0,61.0,Control,138.0
254,7283635,17.0,36.0,105.0,48.0,Control,206.0
255,8911405,13.0,18.0,125.0,33.0,Test,189.0
256,9777919,6.0,13.0,57.0,20.0,Test,96.0
257,8608071,4.0,8.0,57.0,39.0,Test,108.0
258,7069926,115.0,32.0,152.0,63.0,Test,362.0
259,3016724,38.0,89.0,142.0,238.0,Control,507.0
260,5322608,13.0,8.0,89.0,40.0,Control,150.0
261,9128593,22.0,7.0,195.0,53.0,Control,277.0
262,5823616,17.0,19.0,34.0,97.0,Test,167.0
263,6431498,25.0,7.0,77.0,387.0,Control,496.0
264,5841499,9.0,9.0,34.0,35.0,Control,87.0
265,3703282,8.0,9.0,93.0,45.0,Control,155.0
266,6637378,5.0,3.0,34.0,44.0,Test,86.0
267,8463084,34.0,39.0,79.0,82.0,Control,234.0
268,3836344,8.0,18.0,71.0,62.0,Control,159.0
269,3669611,44.0,32.0,97.0,340.0,Control,513.0
270,1731028,4.0,9.0,38.0,30.0,Test,81.0
271,4087981,6.0,4.0,67.0,49.0,Control,126.0
272,2649386,8.0,31.0,33.0,43.0,Test,115.0
273,2854435,17.0,13.0,146.0,40.0,Test,216.0
274,637858,34.0,34.0,97.0,55.0,Control,220.0
275,6121098,6.0,23.0,111.0,34.0,Test,174.0
276,1322426,21.0,30.0,84.0,46.0,Test,181.0
277,7758621,8.0,7.0,48.0,15.0,Test,78.0
278,7564737,35.0,20.0,61.0,38.0,Test,154.0
279,2195243,50.0,30.0,188.0,49.0,Test,317.0
280,4147935,145.0,619.0,34.0,218.0,Test,1016.0
281,3062998,12.0,43.0,68.0,141.0,Test,264.0
282,487462,11.0,36.0,56.0,47.0,Test,150.0
283,2159101,16.0,40.0,28.0,29.0,Test,113.0
284,1663358,14.0,20.0,75.0,115.0,Test,224.0
285,3678111,11.0,14.0,126.0,151.0,Test,302.0
286,5249171,3.0,14.0,56.0,63.0,Test,136.0
287,4744245,88.0,32.0,89.0,414.0,Control,623.0
288,2430937,17.0,61.0,279.0,66.0,Test,423.0
289,780112,12.0,26.0,53.0,112.0,Test,203.0
290,809082,24.0,68.0,103.0,1402.0,Test,1597.0
291,233601,10.0,6.0,50.0,55.0,Control,121.0
292,37408,83.0,63.0,107.0,82.0,Control,335.0
293,7379864,11.0,44.0,152.0,100.0,Test,307.0
294,269636,38.0,8.0,59.0,162.0,Control,267.0
295,2825830,39.0,61.0,282.0,83.0,Control,465.0
296,9740561,9.0,39.0,72.0,46.0,Control,166.0
297,6828613,15.0,33.0,49.0,32.0,Test,129.0
298,6379127,36.0,29.0,137.0,165.0,Control,367.0
299,5180590,10.0,10.0,50.0,20.0,Test,90.0
300,866133,5.0,7.0,40.0,15.0,Test,67.0
301,1953574,4.0,9.0,242.0,90.0,Test,345.0
302,3133001,6.0,79.0,78.0,79.0,Test,242.0
303,3751021,3.0,5.0,64.0,54.0,Test,126.0
304,5810734,15.0,22.0,81.0,261.0,Test,379.0
305,6267076,8.0,26.0,46.0,39.0,Control,119.0
306,196053,49.0,6.0,50.0,42.0,Control,147.0
307,6741529,4.0,4.0,65.0,23.0,Control,96.0
308,2968554,6.0,4.0,49.0,24.0,Control,83.0
309,626494,11.0,19.0,59.0,53.0,Test,142.0
310,7723706,11.0,24.0,286.0,65.0,Test,386.0
311,2563749,10.0,5.0,77.0,42.0,Control,134.0
312,775176,50.0,61.0,81.0,52.0,Control,244.0
313,329631,25.0,10.0,58.0,59.0,Control,152.0
314,4542043,33.0,41.0,436.0,85.0,Control,595.0
315,3905636,36.0,9.0,120.0,110.0,Test,275.0
316,6396836,57.0,14.0,53.0,28.0,Test,152.0
317,1423055,7.0,71.0,47.0,30.0,Test,155.0
318,282077,5.0,25.0,189.0,35.0,Control,254.0
319,3920526,4.0,30.0,47.0,24.0,Test,105.0
320,8705202,15.0,7.0,12.0,56.0,Control,90.0
321,9390879,36.0,25.0,27.0,78.0,Test,166.0
322,8409638,20.0,27.0,78.0,28.0,Test,153.0
323,5112619,47.0,18.0,86.0,198.0,Control,349.0
324,4142763,6.0,17.0,135.0,43.0,Test,201.0
325,7598039,22.0,26.0,91.0,35.0,Test,174.0
326,254491,49.0,6.0,91.0,356.0,Control,502.0
327,1154031,13.0,41.0,34.0,80.0,Control,168.0
328,823482,16.0,35.0,69.0,59.0,Control,179.0
329,8014451,10.0,50.0,120.0,65.0,Control,245.0
330,1273901,194.0,38.0,83.0,290.0,Test,605.0
331,5856806,5.0,6.0,18.0,52.0,Test,81.0
332,8182204,40.0,12.0,117.0,251.0,Control,420.0
333,2809254,10.0,40.0,88.0,60.0,Test,198.0
334,6168374,18.0,8.0,36.0,122.0,Control,184.0
335,5555638,24.0,39.0,92.0,77.0,Control,232.0
336,5552819,22.0,42.0,54.0,59.0,Control,177.0
337,2763758,209.0,10.0,80.0,51.0,Control,350.0
338,4156608,86.0,63.0,34.0,135.0,Test,318.0
339,3236351,55.0,30.0,204.0,74.0,Test,363.0
340,5065737,7.0,31.0,132.0,65.0,Test,235.0
341,9404539,10.0,5.0,42.0,74.0,Control,131.0
342,4914129,57.0,42.0,154.0,118.0,Control,371.0
343,6623614,10.0,34.0,129.0,53.0,Control,226.0
344,6157625,6.0,10.0,77.0,19.0,Test,112.0
345,353727,72.0,10.0,124.0,48.0,Control,254.0
346,379137,6.0,5.0,39.0,21.0,Control,71.0
347,260044,9.0,13.0,107.0,37.0,Test,166.0
348,42725,10.0,9.0,96.0,26.0,Test,141.0
349,2819518,4.0,7.0,64.0,26.0,Test,101.0
350,244011,7.0,7.0,61.0,52.0,Test,127.0
351,786681,10.0,21.0,22.0,34.0,Control,87.0
352,941279,10.0,11.0,98.0,164.0,Control,283.0
353,581882,9.0,5.0,59.0,92.0,Control,165.0
354,2937724,22.0,85.0,243.0,237.0,Control,587.0
355,4766855,10.0,11.0,52.0,28.0,Test,101.0
356,118415,32.0,13.0,39.0,104.0,Control,188.0
357,270682,16.0,15.0,92.0,49.0,Control,172.0
358,3812607,14.0,48.0,38.0,31.0,Test,131.0
359,4187527,40.0,80.0,38.0,421.0,Control,579.0
360,8150031,22.0,47.0,366.0,73.0,Test,508.0
361,6796179,65.0,140.0,38.0,265.0,Control,508.0
362,6399218,10.0,35.0,30.0,52.0,Test,127.0
363,6462925,53.0,33.0,55.0,178.0,Test,319.0
364,50325,7.0,49.0,27.0,67.0,Test,150.0
365,7852915,48.0,39.0,69.0,186.0,Control,342.0
366,7430457,5.0,11.0,72.0,65.0,Test,153.0
367,4564948,9.0,73.0,77.0,356.0,Test,515.0
368,3382714,490.0,120.0,41.0,123.0,Control,774.0
369,5793876,17.0,26.0,56.0,151.0,Test,250.0
370,5489642,22.0,27.0,214.0,140.0,Test,403.0
371,2952896,66.0,62.0,73.0,493.0,Test,694.0
372,4540109,8.0,13.0,105.0,32.0,Test,158.0
373,5636190,119.0,43.0,135.0,68.0,Test,365.0
374,6198147,28.0,21.0,65.0,23.0,Test,137.0
375,9160341,45.0,10.0,183.0,125.0,Test,363.0
376,9409908,7.0,7.0,59.0,46.0,Control,119.0
377,8818002,68.0,11.0,80.0,136.0,Test,295.0
378,8585073,21.0,74.0,46.0,117.0,Test,258.0
379,144773,5.0,4.0,35.0,20.0,Control,64.0
380,1770552,47.0,57.0,49.0,169.0,Control,322.0
381,4852240,7.0,24.0,57.0,37.0,Control,125.0
382,4862941,19.0,16.0,88.0,30.0,Test,153.0
383,4646433,12.0,6.0,24.0,48.0,Control,90.0
384,5598911,35.0,10.0,104.0,60.0,Control,209.0
385,4992306,64.0,58.0,165.0,201.0,Control,488.0
386,204361,29.0,17.0,84.0,36.0,Control,166.0
387,4972552,23.0,22.0,64.0,72.0,Control,181.0
388,3089372,9.0,43.0,84.0,70.0,Test,206.0
389,1462470,4.0,7.0,35.0,35.0,Test,81.0
390,9424502,12.0,120.0,97.0,184.0,Control,413.0
391,3192339,9.0,26.0,22.0,28.0,Test,85.0
392,1316402,6.0,37.0,30.0,81.0,Test,154.0
393,4070915,5.0,45.0,88.0,61.0,Test,199.0
394,5037795,43.0,86.0,124.0,68.0,Control,321.0
395,9787741,4.0,16.0,230.0,15.0,Control,265.0
396,1300224,3.0,18.0,44.0,22.0,Test,87.0
397,7013769,13.0,33.0,62.0,67.0,Control,175.0
398,9041483,8.0,7.0,88.0,54.0,Control,157.0
399,4373203,89.0,98.0,414.0,651.0,Control,1252.0
400,8767041,28.0,54.0,133.0,67.0,Control,282.0
401,9670804,13.0,29.0,33.0,794.0,Test,869.0
402,3034096,6.0,19.0,64.0,27.0,Test,116.0
403,1715882,6.0,20.0,107.0,56.0,Test,189.0
404,5316428,102.0,11.0,257.0,299.0,Control,669.0
405,8635406,36.0,10.0,191.0,302.0,Control,539.0
406,7226525,7.0,27.0,20.0,313.0,Test,367.0
407,4777945,6.0,5.0,47.0,41.0,Control,99.0
408,151897,5.0,30.0,90.0,134.0,Test,259.0
409,3121872,84.0,12.0,29.0,48.0,Test,173.0
410,8241833,10.0,26.0,70.0,95.0,Test,201.0
411,356363,41.0,12.0,127.0,565.0,Control,745.0
412,3640838,479.0,17.0,56.0,1201.0,Control,1753.0
413,2048347,13.0,26.0,46.0,143.0,Test,228.0
414,6060172,15.0,46.0,27.0,64.0,Test,152.0
415,626263,66.0,14.0,137.0,102.0,Test,319.0
416,4652540,17.0,43.0,171.0,73.0,Test,304.0
417,9907037,147.0,142.0,49.0,164.0,Control,502.0
418,556488,7.0,14.0,91.0,277.0,Test,389.0
419,8881398,66.0,117.0,291.0,168.0,Control,642.0
420,2545621,36.0,31.0,67.0,88.0,Control,222.0
421,607427,69.0,55.0,212.0,78.0,Control,414.0
422,2700187,10.0,17.0,97.0,38.0,Control,162.0
423,9750214,92.0,20.0,42.0,126.0,Control,280.0
424,6444330,42.0,46.0,62.0,104.0,Control,254.0
425,3788589,10.0,24.0,175.0,448.0,Control,657.0
426,2466669,4.0,6.0,64.0,25.0,Control,99.0
427,8431740,5.0,48.0,49.0,47.0,Test,149.0
428,5177112,13.0,39.0,51.0,30.0,Test,133.0
429,1986539,7.0,6.0,58.0,32.0,Control,103.0
430,8621093,81.0,44.0,225.0,151.0,Test,501.0
431,8528827,6.0,22.0,62.0,24.0,Test,114.0
432,242922,7.0,9.0,136.0,53.0,Control,205.0
433,9362131,9.0,24.0,63.0,63.0,Test,159.0
434,3923067,7.0,7.0,52.0,69.0,Control,135.0
435,5412643,17.0,59.0,22.0,49.0,Control,147.0
436,1892368,9.0,7.0,126.0,41.0,Control,183.0
437,1726128,8.0,22.0,27.0,43.0,Test,100.0
438,2551688,7.0,14.0,35.0,56.0,Test,112.0
439,9434878,127.0,31.0,42.0,286.0,Test,486.0
440,819286,9.0,48.0,102.0,205.0,Test,364.0
441,1176152,11.0,70.0,34.0,158.0,Control,273.0
442,657899,24.0,26.0,36.0,58.0,Test,144.0
443,3069127,24.0,10.0,50.0,220.0,Control,304.0
444,7208080,10.0,28.0,103.0,38.0,Test,179.0
445,1287625,7.0,23.0,54.0,42.0,Test,126.0
446,7139320,11.0,16.0,54.0,36.0,Test,117.0
447,7055327,6.0,40.0,51.0,24.0,Test,121.0
448,8055629,21.0,39.0,30.0,197.0,Control,287.0
449,3720127,37.0,14.0,162.0,78.0,Control,291.0
450,2195967,154.0,42.0,36.0,240.0,Control,472.0
451,5468324,6.0,29.0,21.0,105.0,Test,161.0
452,8752019,18.0,24.0,72.0,129.0,Test,243.0
453,9645276,8.0,58.0,93.0,42.0,Test,201.0
454,9710210,54.0,95.0,144.0,259.0,Test,552.0
455,3362285,22.0,9.0,29.0,74.0,Control,134.0
456,3518821,9.0,20.0,62.0,37.0,Test,128.0
457,1161189,10.0,18.0,31.0,38.0,Test,97.0
458,7401406,22.0,65.0,44.0,28.0,Test,159.0
459,2689307,6.0,13.0,22.0,26.0,Test,67.0
460,623101,31.0,11.0,142.0,66.0,Control,250.0
461,6642557,10.0,5.0,126.0,498.0,Test,639.0
462,6885985,9.0,15.0,52.0,92.0,Control,168.0
463,5008443,50.0,22.0,148.0,45.0,Test,265.0
464,6590646,5.0,23.0,51.0,28.0,Test,107.0
465,8942980,12.0,11.0,90.0,65.0,Control,178.0
466,351093,6.0,4.0,104.0,83.0,Control,197.0
467,126171,63.0,82.0,59.0,163.0,Control,367.0
468,1631726,26.0,24.0,198.0,128.0,Test,376.0
469,3704365,14.0,163.0,68.0,58.0,Test,303.0
470,5007915,13.0,19.0,266.0,62.0,Control,360.0
471,8755557,7.0,26.0,35.0,29.0,Test,97.0
472,9577370,5.0,32.0,59.0,37.0,Control,133.0
473,5925148,47.0,66.0,76.0,68.0,Test,257.0
474,308060,11.0,31.0,66.0,29.0,Test,137.0
475,3399237,4.0,3.0,42.0,21.0,Control,70.0
476,5977906,23.0,31.0,28.0,116.0,Control,198.0
477,619342,19.0,8.0,43.0,1196.0,Control,1266.0
478,1225544,27.0,56.0,51.0,132.0,Control,266.0
479,5204398,251.0,42.0,136.0,442.0,Control,871.0
480,5105149,3.0,5.0,57.0,63.0,Control,128.0
481,2335870,8.0,18.0,56.0,46.0,Test,128.0
