,client_id,time_step_1,time_step_2,time_step_3,time_confirm,Variation,total_time,Time_AVG,result,AVG_minutes
78,1424799,71.0,22.0,333.0,740.0,Test,1166.0,291.5,succeed,4.86
79,4251309,10.0,10.0,72.0,69.0,Test,161.0,40.2,succeed,0.67
80,7448926,164.0,161.0,68.0,127.0,Control,520.0,130.0,succeed,2.17
81,3432043,9.0,29.0,88.0,35.0,Test,161.0,40.2,succeed,0.67
82,2657900,16.0,5.0,83.0,82.0,Control,186.0,46.5,succeed,0.78
83,4961256,12.0,25.0,94.0,34.0,Test,165.0,41.2,succeed,0.69
84,1209140,9.0,23.0,25.0,35.0,Test,92.0,23.0,succeed,0.38
85,2262795,11.0,14.0,66.0,68.0,Control,159.0,39.8,succeed,0.66
86,5867403,5.0,36.0,83.0,26.0,Test,150.0,37.5,succeed,0.62
87,3535465,127.0,188.0,70.0,854.0,Test,1239.0,309.8,succeed,5.16
88,4878070,66.0,19.0,96.0,93.0,Test,274.0,68.5,succeed,1.14
89,77276,3.0,27.0,21.0,20.0,Test,71.0,17.8,succeed,0.3
90,5667617,10.0,39.0,110.0,44.0,Test,203.0,50.8,succeed,0.85
91,7787684,42.0,60.0,341.0,68.0,Control,511.0,127.8,succeed,2.13
92,2333006,49.0,13.0,137.0,105.0,Control,304.0,76.0,succeed,1.27
93,5238758,11.0,45.0,181.0,48.0,Test,285.0,71.2,succeed,1.19
94,9635244,10.0,38.0,25.0,121.0,Control,194.0,48.5,succeed,0.81
95,2915635,57.0,21.0,37.0,25.0,Test,140.0,35.0,succeed,0.58
96,9922958,42.0,56.0,113.0,249.0,Test,460.0,115.0,succeed,1.92
97,323950,23.0,6.0,71.0,48.0,Control,148.0,37.0,succeed,0.62
98,8750191,41.0,29.0,34.0,39.0,Control,143.0,35.8,succeed,0.6
99,8723963,8.0,9.0,66.0,61.0,Test,144.0,36.0,succeed,0.6
100,6405391,12.0,7.0,84.0,32.0,Test,135.0,33.8,succeed,0.56
101,3011265,60.0,72.0,133.0,52.0,Control,317.0,79.2,succeed,1.32
102,7045324,11.0,15.0,44.0,29.0,Test,99.0,24.8,succeed,0.41
103,3436975,18.0,4.0,108.0,25.0,Control,155.0,38.8,succeed,0.65
104,3695514,7.0,5.0,250.0,222.0,Control,484.0,121.0,succeed,2.02
105,3072060,9.0,15.0,51.0,21.0,Test,96.0,24.0,succeed,0.4
106,2888193,38.0,9.0,102.0,501.0,Control,650.0,162.5,succeed,2.71
107,2420923,35.0,26.0,65.0,35.0,Test,161.0,40.2,succeed,0.67
108,8957739,14.0,53.0,42.0,297.0,Test,406.0,101.5,succeed,1.69
109,7258442,36.0,45.0,141.0,173.0,Control,395.0,98.8,succeed,1.65
110,1486118,26.0,42.0,133.0,143.0,Control,344.0,86.0,succeed,1.43
111,8930597,10.0,7.0,37.0,80.0,Control,134.0,33.5,succeed,0.56
112,4343885,20.0,58.0,52.0,179.0,Control,309.0,77.2,succeed,1.29
113,8472274,13.0,34.0,79.0,60.0,Test,186.0,46.5,succeed,0.78
114,838584,12.0,28.0,131.0,80.0,Test,251.0,62.8,succeed,1.05
115,6774011,4.0,32.0,55.0,43.0,Test,134.0,33.5,succeed,0.56
116,3649806,71.0,603.0,74.0,154.0,Test,902.0,225.5,succeed,3.76
117,3766837,14.0,56.0,46.0,373.0,Test,489.0,122.2,succeed,2.04
118,1432979,40.0,6.0,47.0,518.0,Control,611.0,152.8,succeed,2.55
119,3671491,87.0,45.0,257.0,113.0,Control,502.0,125.5,succeed,2.09
120,1090478,7.0,45.0,72.0,83.0,Test,207.0,51.8,succeed,0.86
121,2681612,17.0,37.0,161.0,81.0,Control,296.0,74.0,succeed,1.23
122,851930,42.0,14.0,163.0,88.0,Control,307.0,76.8,succeed,1.28
123,6766816,246.0,99.0,239.0,1334.0,Test,1918.0,479.5,succeed,7.99
124,741785,6.0,6.0,107.0,82.0,Control,201.0,50.2,succeed,0.84
125,8125499,5.0,27.0,136.0,114.0,Test,282.0,70.5,succeed,1.18
126,2963107,57.0,40.0,212.0,169.0,Control,478.0,119.5,succeed,1.99
127,494597,5.0,12.0,65.0,33.0,Test,115.0,28.8,succeed,0.48
128,6332820,11.0,37.0,17.0,26.0,Control,91.0,22.8,succeed,0.38
129,1711408,14.0,53.0,305.0,37.0,Test,409.0,102.2,succeed,1.7
130,9221129,15.0,50.0,58.0,33.0,Test,156.0,39.0,succeed,0.65
131,8225520,51.0,16.0,72.0,19.0,Test,158.0,39.5,succeed,0.66
132,9824178,7.0,20.0,25.0,88.0,Test,140.0,35.0,succeed,0.58
133,2892822,72.0,18.0,50.0,38.0,Test,178.0,44.5,succeed,0.74
134,3387907,73.0,14.0,153.0,103.0,Control,343.0,85.8,succeed,1.43
135,7258987,32.0,44.0,191.0,50.0,Test,317.0,79.2,succeed,1.32
136,5240348,4.0,6.0,19.0,26.0,Control,55.0,13.8,succeed,0.23
137,3421393,13.0,9.0,36.0,116.0,Control,174.0,43.5,succeed,0.72
138,6740819,32.0,83.0,22.0,78.0,Control,215.0,53.8,succeed,0.9
139,7606536,4.0,11.0,43.0,48.0,Control,106.0,26.5,succeed,0.44
140,2839247,290.0,81.0,207.0,924.0,Control,1502.0,375.5,succeed,6.26
141,5363445,25.0,8.0,672.0,70.0,Control,775.0,193.8,succeed,3.23
142,8031718,10.0,54.0,42.0,49.0,Control,155.0,38.8,succeed,0.65
143,566137,12.0,28.0,63.0,143.0,Test,246.0,61.5,succeed,1.02
144,5398009,12.0,20.0,86.0,33.0,Test,151.0,37.8,succeed,0.63
145,5015824,15.0,14.0,86.0,49.0,Test,164.0,41.0,succeed,0.68
146,4608580,37.0,65.0,265.0,37.0,Control,404.0,101.0,succeed,1.68
147,2612667,7.0,26.0,57.0,132.0,Test,222.0,55.5,succeed,0.92
148,2615052,9.0,29.0,74.0,31.0,Test,143.0,35.8,succeed,0.6
149,6651108,9.0,38.0,196.0,140.0,Test,383.0,95.8,succeed,1.6
150,844271,388.0,45.0,31.0,707.0,Test,1171.0,292.8,succeed,4.88
151,8774888,25.0,28.0,88.0,231.0,Test,372.0,93.0,succeed,1.55
152,6382757,7.0,20.0,48.0,20.0,Test,95.0,23.8,succeed,0.4
153,8501430,52.0,9.0,29.0,121.0,Control,211.0,52.8,succeed,0.88
154,6724494,5.0,6.0,125.0,16.0,Test,152.0,38.0,succeed,0.63
155,7804581,8.0,6.0,118.0,65.0,Control,197.0,49.2,succeed,0.82
156,2717233,21.0,16.0,231.0,119.0,Test,387.0,96.8,succeed,1.61
157,9112089,29.0,33.0,90.0,51.0,Control,203.0,50.8,succeed,0.85
158,9624621,14.0,60.0,33.0,97.0,Control,204.0,51.0,succeed,0.85
159,1411452,6.0,18.0,47.0,37.0,Test,108.0,27.0,succeed,0.45
160,5941398,10.0,49.0,69.0,50.0,Test,178.0,44.5,succeed,0.74
161,4889645,91.0,48.0,71.0,57.0,Test,267.0,66.8,succeed,1.11
162,5520127,29.0,9.0,98.0,54.0,Control,190.0,47.5,succeed,0.79
163,8360249,19.0,85.0,33.0,141.0,Control,278.0,69.5,succeed,1.16
164,9762839,109.0,37.0,102.0,177.0,Test,425.0,106.2,succeed,1.77
165,8655162,24.0,41.0,97.0,204.0,Test,366.0,91.5,succeed,1.52
166,1622925,6.0,38.0,45.0,55.0,Test,144.0,36.0,succeed,0.6
167,1011972,52.0,23.0,72.0,532.0,Control,679.0,169.8,succeed,2.83
168,3314416,123.0,8.0,93.0,69.0,Control,293.0,73.2,succeed,1.22
169,8121690,13.0,39.0,52.0,24.0,Test,128.0,32.0,succeed,0.53
170,9795698,15.0,5.0,56.0,33.0,Test,109.0,27.2,succeed,0.45
171,8550901,50.0,9.0,110.0,116.0,Control,285.0,71.2,succeed,1.19
172,9983987,14.0,26.0,33.0,90.0,Test,163.0,40.8,succeed,0.68
173,8006148,16.0,19.0,32.0,53.0,Test,120.0,30.0,succeed,0.5
174,4052287,21.0,7.0,130.0,59.0,Control,217.0,54.2,succeed,0.9
175,8375573,3.0,5.0,45.0,23.0,Test,76.0,19.0,succeed,0.32
176,8512863,74.0,55.0,69.0,359.0,Control,557.0,139.2,succeed,2.32
177,9749944,72.0,24.0,379.0,166.0,Control,641.0,160.2,succeed,2.67
178,1790923,26.0,10.0,39.0,143.0,Control,218.0,54.5,succeed,0.91
179,7274800,13.0,7.0,257.0,46.0,Test,323.0,80.8,succeed,1.35
180,3976933,5.0,21.0,49.0,21.0,Control,96.0,24.0,succeed,0.4
181,1033888,39.0,275.0,268.0,254.0,Control,836.0,209.0,succeed,3.48
182,5569364,19.0,9.0,70.0,40.0,Control,138.0,34.5,succeed,0.57
183,7030145,24.0,24.0,443.0,82.0,Test,573.0,143.2,succeed,2.39
184,9007970,15.0,18.0,67.0,127.0,Test,227.0,56.8,succeed,0.95
185,1333964,10.0,19.0,39.0,31.0,Test,99.0,24.8,succeed,0.41
186,4129281,29.0,30.0,71.0,47.0,Test,177.0,44.2,succeed,0.74
187,9382137,8.0,17.0,151.0,21.0,Control,197.0,49.2,succeed,0.82
188,5955812,9.0,52.0,50.0,1247.0,Test,1358.0,339.5,succeed,5.66
189,9296214,42.0,60.0,292.0,661.0,Test,1055.0,263.8,succeed,4.4
190,3337387,3.0,8.0,41.0,19.0,Test,71.0,17.8,succeed,0.3
191,9322129,6.0,12.0,33.0,55.0,Test,106.0,26.5,succeed,0.44
192,9764115,10.0,25.0,65.0,98.0,Test,198.0,49.5,succeed,0.82
193,1296904,55.0,45.0,152.0,157.0,Control,409.0,102.2,succeed,1.7
194,542563,12.0,10.0,17.0,41.0,Control,80.0,20.0,succeed,0.33
195,3050600,5.0,5.0,103.0,75.0,Control,188.0,47.0,succeed,0.78
196,5033489,12.0,8.0,73.0,50.0,Control,143.0,35.8,succeed,0.6
197,3461541,8.0,5.0,59.0,60.0,Control,132.0,33.0,succeed,0.55
198,5171763,22.0,44.0,129.0,257.0,Control,452.0,113.0,succeed,1.88
199,8580049,9.0,62.0,23.0,106.0,Test,200.0,50.0,succeed,0.83
200,2067509,5.0,36.0,32.0,102.0,Test,175.0,43.8,succeed,0.73
201,9111035,10.0,23.0,52.0,37.0,Test,122.0,30.5,succeed,0.51
202,2722950,13.0,5.0,121.0,169.0,Control,308.0,77.0,succeed,1.28
203,1755496,17.0,11.0,41.0,20.0,Test,89.0,22.2,succeed,0.37
204,8950069,64.0,12.0,195.0,142.0,Test,413.0,103.2,succeed,1.72
205,3010914,12.0,9.0,78.0,303.0,Control,402.0,100.5,succeed,1.68
206,7767849,6.0,47.0,91.0,76.0,Test,220.0,55.0,succeed,0.92
207,8118036,4.0,32.0,66.0,43.0,Test,145.0,36.2,succeed,0.6
208,9726680,6.0,7.0,92.0,20.0,Test,125.0,31.2,succeed,0.52
209,6773284,5.0,77.0,128.0,29.0,Test,239.0,59.8,succeed,1.0
210,3052488,200.0,13.0,122.0,90.0,Control,425.0,106.2,succeed,1.77
211,9664272,11.0,32.0,85.0,45.0,Control,173.0,43.2,succeed,0.72
212,6905463,10.0,6.0,63.0,43.0,Control,122.0,30.5,succeed,0.51
213,1144410,10.0,9.0,69.0,148.0,Control,236.0,59.0,succeed,0.98
214,2493468,6.0,22.0,82.0,65.0,Test,175.0,43.8,succeed,0.73
215,2853115,5.0,28.0,47.0,48.0,Control,128.0,32.0,succeed,0.53
216,8968789,37.0,390.0,197.0,65.0,Control,689.0,172.2,succeed,2.87
217,1465396,6.0,20.0,86.0,61.0,Test,173.0,43.2,succeed,0.72
218,4780398,50.0,75.0,68.0,309.0,Control,502.0,125.5,succeed,2.09
219,4023943,33.0,72.0,87.0,80.0,Control,272.0,68.0,succeed,1.13
220,2601570,18.0,35.0,76.0,142.0,Test,271.0,67.8,succeed,1.13
221,1455127,18.0,22.0,76.0,46.0,Test,162.0,40.5,succeed,0.68
222,2035117,41.0,7.0,26.0,53.0,Control,127.0,31.8,succeed,0.53
223,2379374,20.0,10.0,81.0,145.0,Test,256.0,64.0,succeed,1.07
224,749827,12.0,84.0,180.0,81.0,Test,357.0,89.2,succeed,1.49
225,7829434,26.0,6.0,69.0,194.0,Control,295.0,73.8,succeed,1.23
226,4374056,6.0,13.0,64.0,47.0,Test,130.0,32.5,succeed,0.54
227,5651761,9.0,38.0,54.0,36.0,Test,137.0,34.2,succeed,0.57
228,8466565,37.0,16.0,64.0,228.0,Test,345.0,86.2,succeed,1.44
229,2471812,15.0,34.0,69.0,86.0,Test,204.0,51.0,succeed,0.85
230,5766460,6.0,14.0,20.0,45.0,Test,85.0,21.2,succeed,0.35
231,6379996,9.0,49.0,58.0,67.0,Test,183.0,45.8,succeed,0.76
232,3391330,8.0,45.0,111.0,333.0,Test,497.0,124.2,succeed,2.07
233,3703213,8.0,63.0,41.0,68.0,Test,180.0,45.0,succeed,0.75
234,934442,42.0,25.0,83.0,101.0,Control,251.0,62.8,succeed,1.05
235,4363111,5.0,4.0,109.0,47.0,Control,165.0,41.2,succeed,0.69
236,6251290,12.0,28.0,343.0,233.0,Test,616.0,154.0,succeed,2.57
237,9573768,10.0,24.0,215.0,40.0,Control,289.0,72.2,succeed,1.2
238,7858061,4.0,18.0,50.0,60.0,Test,132.0,33.0,succeed,0.55
239,65845,153.0,11.0,41.0,598.0,Control,803.0,200.8,succeed,3.35
240,180404,13.0,8.0,110.0,43.0,Control,174.0,43.5,succeed,0.72
241,7263999,5.0,59.0,99.0,109.0,Test,272.0,68.0,succeed,1.13
242,2622312,179.0,17.0,278.0,166.0,Control,640.0,160.0,succeed,2.67
243,2190311,24.0,45.0,99.0,852.0,Test,1020.0,255.0,succeed,4.25
244,3806081,36.0,25.0,63.0,184.0,Test,308.0,77.0,succeed,1.28
245,6282795,4.0,10.0,29.0,38.0,Control,81.0,20.2,succeed,0.34
246,1163409,11.0,29.0,93.0,17.0,Test,150.0,37.5,succeed,0.62
247,9173795,9.0,66.0,124.0,42.0,Test,241.0,60.2,succeed,1.0
248,9077478,5.0,9.0,68.0,29.0,Test,111.0,27.8,succeed,0.46
249,9076007,9.0,82.0,211.0,76.0,Test,378.0,94.5,succeed,1.58
250,7688646,16.0,27.0,79.0,70.0,Control,192.0,48.0,succeed,0.8
251,463029,13.0,47.0,50.0,108.0,Test,218.0,54.5,succeed,0.91
252,5617039,12.0,18.0,97.0,53.0,Test,180.0,45.0,succeed,0.75
253,3531620,7.0,6.0,64.0,61.0,Control,138.0,34.5,succeed,0.57
254,7283635,17.0,36.0,105.0,48.0,Control,206.0,51.5,succeed,0.86
255,8911405,13.0,18.0,125.0,33.0,Test,189.0,47.2,succeed,0.79
256,9777919,6.0,13.0,57.0,20.0,Test,96.0,24.0,succeed,0.4
257,8608071,4.0,8.0,57.0,39.0,Test,108.0,27.0,succeed,0.45
258,7069926,115.0,32.0,152.0,63.0,Test,362.0,90.5,succeed,1.51
259,3016724,38.0,89.0,142.0,238.0,Control,507.0,126.8,succeed,2.11
260,5322608,13.0,8.0,89.0,40.0,Control,150.0,37.5,succeed,0.62
261,9128593,22.0,7.0,195.0,53.0,Control,277.0,69.2,succeed,1.15
262,5823616,17.0,19.0,34.0,97.0,Test,167.0,41.8,succeed,0.7
263,6431498,25.0,7.0,77.0,387.0,Control,496.0,124.0,succeed,2.07
264,5841499,9.0,9.0,34.0,35.0,Control,87.0,21.8,succeed,0.36
265,3703282,8.0,9.0,93.0,45.0,Control,155.0,38.8,succeed,0.65
266,6637378,5.0,3.0,34.0,44.0,Test,86.0,21.5,succeed,0.36
267,8463084,34.0,39.0,79.0,82.0,Control,234.0,58.5,succeed,0.98
268,3836344,8.0,18.0,71.0,62.0,Control,159.0,39.8,succeed,0.66
269,3669611,44.0,32.0,97.0,340.0,Control,513.0,128.2,succeed,2.14
270,1731028,4.0,9.0,38.0,30.0,Test,81.0,20.2,succeed,0.34
271,4087981,6.0,4.0,67.0,49.0,Control,126.0,31.5,succeed,0.52
272,2649386,8.0,31.0,33.0,43.0,Test,115.0,28.8,succeed,0.48
273,2854435,17.0,13.0,146.0,40.0,Test,216.0,54.0,succeed,0.9
274,637858,34.0,34.0,97.0,55.0,Control,220.0,55.0,succeed,0.92
275,6121098,6.0,23.0,111.0,34.0,Test,174.0,43.5,succeed,0.72
276,1322426,21.0,30.0,84.0,46.0,Test,181.0,45.2,succeed,0.75
277,7758621,8.0,7.0,48.0,15.0,Test,78.0,19.5,succeed,0.32
278,7564737,35.0,20.0,61.0,38.0,Test,154.0,38.5,succeed,0.64
279,2195243,50.0,30.0,188.0,49.0,Test,317.0,79.2,succeed,1.32
280,4147935,145.0,619.0,34.0,218.0,Test,1016.0,254.0,succeed,4.23
281,3062998,12.0,43.0,68.0,141.0,Test,264.0,66.0,succeed,1.1
282,487462,11.0,36.0,56.0,47.0,Test,150.0,37.5,succeed,0.62
283,2159101,16.0,40.0,28.0,29.0,Test,113.0,28.2,succeed,0.47
284,1663358,14.0,20.0,75.0,115.0,Test,224.0,56.0,succeed,0.93
285,3678111,11.0,14.0,126.0,151.0,Test,302.0,75.5,succeed,1.26
286,5249171,3.0,14.0,56.0,63.0,Test,136.0,34.0,succeed,0.57
287,4744245,88.0,32.0,89.0,414.0,Control,623.0,155.8,succeed,2.6
288,2430937,17.0,61.0,279.0,66.0,Test,423.0,105.8,succeed,1.76
289,780112,12.0,26.0,53.0,112.0,Test,203.0,50.8,succeed,0.85
290,809082,24.0,68.0,103.0,1402.0,Test,1597.0,399.2,succeed,6.65
291,233601,10.0,6.0,50.0,55.0,Control,121.0,30.2,succeed,0.5
292,37408,83.0,63.0,107.0,82.0,Control,335.0,83.8,succeed,1.4
293,7379864,11.0,44.0,152.0,100.0,Test,307.0,76.8,succeed,1.28
294,269636,38.0,8.0,59.0,162.0,Control,267.0,66.8,succeed,1.11
295,2825830,39.0,61.0,282.0,83.0,Control,465.0,116.2,succeed,1.94
296,9740561,9.0,39.0,72.0,46.0,Control,166.0,41.5,succeed,0.69
297,6828613,15.0,33.0,49.0,32.0,Test,129.0,32.2,succeed,0.54
298,6379127,36.0,29.0,137.0,165.0,Control,367.0,91.8,succeed,1.53
299,5180590,10.0,10.0,50.0,20.0,Test,90.0,22.5,succeed,0.38
300,866133,5.0,7.0,40.0,15.0,Test,67.0,16.8,succeed,0.28
301,1953574,4.0,9.0,242.0,90.0,Test,345.0,86.2,succeed,1.44
302,3133001,6.0,79.0,78.0,79.0,Test,242.0,60.5,succeed,1.01
303,3751021,3.0,5.0,64.0,54.0,Test,126.0,31.5,succeed,0.52
304,5810734,15.0,22.0,81.0,261.0,Test,379.0,94.8,succeed,1.58
305,6267076,8.0,26.0,46.0,39.0,Control,119.0,29.8,succeed,0.5
306,196053,49.0,6.0,50.0,42.0,Control,147.0,36.8,succeed,0.61
307,6741529,4.0,4.0,65.0,23.0,Control,96.0,24.0,succeed,0.4
308,2968554,6.0,4.0,49.0,24.0,Control,83.0,20.8,succeed,0.35
309,626494,11.0,19.0,59.0,53.0,Test,142.0,35.5,succeed,0.59
310,7723706,11.0,24.0,286.0,65.0,Test,386.0,96.5,succeed,1.61
311,2563749,10.0,5.0,77.0,42.0,Control,134.0,33.5,succeed,0.56
312,775176,50.0,61.0,81.0,52.0,Control,244.0,61.0,succeed,1.02
313,329631,25.0,10.0,58.0,59.0,Control,152.0,38.0,succeed,0.63
314,4542043,33.0,41.0,436.0,85.0,Control,595.0,148.8,succeed,2.48
315,3905636,36.0,9.0,120.0,110.0,Test,275.0,68.8,succeed,1.15
316,6396836,57.0,14.0,53.0,28.0,Test,152.0,38.0,succeed,0.63
317,1423055,7.0,71.0,47.0,30.0,Test,155.0,38.8,succeed,0.65
318,282077,5.0,25.0,189.0,35.0,Control,254.0,63.5,succeed,1.06
319,3920526,4.0,30.0,47.0,24.0,Test,105.0,26.2,succeed,0.44
320,8705202,15.0,7.0,12.0,56.0,Control,90.0,22.5,succeed,0.38
321,9390879,36.0,25.0,27.0,78.0,Test,166.0,41.5,succeed,0.69
322,8409638,20.0,27.0,78.0,28.0,Test,153.0,38.2,succeed,0.64
323,5112619,47.0,18.0,86.0,198.0,Control,349.0,87.2,succeed,1.45
324,4142763,6.0,17.0,135.0,43.0,Test,201.0,50.2,succeed,0.84
325,7598039,22.0,26.0,91.0,35.0,Test,174.0,43.5,succeed,0.72
326,254491,49.0,6.0,91.0,356.0,Control,502.0,125.5,succeed,2.09
327,1154031,13.0,41.0,34.0,80.0,Control,168.0,42.0,succeed,0.7
328,823482,16.0,35.0,69.0,59.0,Control,179.0,44.8,succeed,0.75
329,8014451,10.0,50.0,120.0,65.0,Control,245.0,61.2,succeed,1.02
330,1273901,194.0,38.0,83.0,290.0,Test,605.0,151.2,succeed,2.52
331,5856806,5.0,6.0,18.0,52.0,Test,81.0,20.2,succeed,0.34
332,8182204,40.0,12.0,117.0,251.0,Control,420.0,105.0,succeed,1.75
333,2809254,10.0,40.0,88.0,60.0,Test,198.0,49.5,succeed,0.82
334,6168374,18.0,8.0,36.0,122.0,Control,184.0,46.0,succeed,0.77
335,5555638,24.0,39.0,92.0,77.0,Control,232.0,58.0,succeed,0.97
336,5552819,22.0,42.0,54.0,59.0,Control,177.0,44.2,succeed,0.74
337,2763758,209.0,10.0,80.0,51.0,Control,350.0,87.5,succeed,1.46
338,4156608,86.0,63.0,34.0,135.0,Test,318.0,79.5,succeed,1.32
